Hiragana,Romaji,Type
あ,a,Hiragana
い,i,Hiragana
う,u,Hiragana
え,e,Hiragana
お,o,Hiragana
か,ka,Hiragana
き,ki,Hiragana
く,ku,Hiragana
け,ke,Hiragana
こ,ko,Hiragana
さ,sa,Hiragana
し,shi,Hiragana
す,su,Hiragana
せ,se,Hiragana
そ,so,Hiragana
た,ta,Hiragana
ち,chi,Hiragana
つ,tsu,Hiragana
て,te,Hiragana
と,to,Hiragana
な,na,Hiragana
に,ni,Hiragana
ぬ,nu,Hiragana
ね,ne,Hiragana
の,no,Hiragana
は,ha,Hiragana
ひ,hi,Hiragana
ふ,fu,Hiragana
へ,he,Hiragana
ほ,ho,Hiragana
ま,ma,Hiragana
み,mi,Hiragana
む,mu,Hiragana
め,me,Hiragana
も,mo,Hiragana
や,ya,Hiragana
ゆ,yu,Hiragana
よ,yo,Hiragana
ら,ra,Hiragana
り,ri,Hiragana
る,ru,Hiragana
れ,re,Hiragana
ろ,ro,Hiragana
わ,wa,Hiragana
を,wo,Hiragana
ん,n,Hiragana
