Katakana,Romanji,Type
ア,a,Katakana
イ,i,Katakana
ウ,u,Katakana
エ,e,Katakana
オ,o,Katakana
カ,ka,Katakana
キ,ki,Katakana
ク,ku,Katakana
ケ,ke,Katakana
コ,ko,Katakana
サ,sa,Katakana
シ,shi,Katakana
ス,su,Katakana
セ,se,Katakana
ソ,so,Katakana
タ,ta,Katakana
チ,chi,Katakana
ツ,tsu,Katakana
テ,te,Katakana
ト,to,Katakana
ナ,na,Katakana
ニ,ni,Katakana
ヌ,nu,Katakana
ネ,ne,Katakana
ノ,no,Katakana
ハ,ha,Katakana
ヒ,hi,Katakana
フ,fu,Katakana
ヘ,he,Katakana
ホ,ho,Katakana
マ,ma,Katakana
ミ,mi,Katakana
ム,mu,Katakana
メ,me,Katakana
モ,mo,Katakana
ヤ,ya,Katakana
ユ,yu,Katakana
ヨ,yo,Katakana
ラ,ra,Katakana
リ,ri,Katakana
ル,ru,Katakana
レ,re,Katakana
ロ,ro,Katakana
ワ,wa,Katakana
ヲ,wo,Katakana
ン,n,Katakana
